icao,lat,lon,airport_name,country
LIRF,41.804532,12.251998,Rome–Fiumicino Leonardo da Vinci International Airport,IT
LIRU,41.952096,12.502231,Rome Urbe Airport,IT
LJPZ,45.47201,13.615951,Portorož Airport,SI
LKHK,50.253201,15.8452,Hradec Králové Airport,CZ
LKLT,50.131401,14.5256,Letňany Airfield,CZ
LKPD,50.015049,15.73981,Pardubice Airport,CZ
LOAN,47.8433,16.260099,Wiener Neustadt East Airport,AT
LOGG,47.146654,16.317058,Punitz-Güssing Airfield,AT
LOGW,47.170293,15.664468,Weiz-Unterfladnitz Airfield,AT
LOLF,48.513748,14.406579,Freistadt Airfield,AT
LOWG,46.9911,15.4396,Graz Airport,AT
LOWS,47.793301,13.0043,Salzburg Airport,AT
LOWW,48.110298,16.5697,Vienna International Airport,AT
LOXN,47.836933,16.221838,Wiener Neustadt West Airport,AT
LPBJ,38.078899,-7.9324,Beja Airport / Airbase,PT
LPEV,38.533501,-7.88964,Évora Airfield,PT
LPFR,37.015909,-7.970939,Faro - Gago Coutinho International Airport,PT
LPMA,32.697812,-16.774613,Cristiano Ronaldo International Airport,PT
LPPR,41.2481002808,-8.68138980865,Francisco de Sá Carneiro Airport,PT
LPPT,38.7813,-9.13592,Lisbon Humberto Delgado Airport,PT
LPSO,39.211545,-8.057787,Aeródromo Municipal de Ponte de Sor,PT
LSGG,46.238098,6.10895,Geneva International Airport,CH
LSGL,46.54509,6.616629,Lausanne la Blécherette Airport,CH
LSMA,46.943901,8.28417,Alpnach Air Base,CH
LSPA,47.573983,9.047785,Amlikon Airfield,CH
LSZB,46.912736,7.498819,Bern Airport,CH
LSZC,46.974444,8.396944,Buochs Airport,CH
LSZH,47.458056,8.548056,Zürich Airport,CH
LSZI,47.5089,7.95,Fricktal-Schupfart Airfield,CH
LSZL,46.162535,8.878908,Locarno Airport,CH
LSZO,47.188993,8.204556,Luzern-Beromünster Airfield,CH
LSZR,47.485001,9.56077,Sankt Gallen Altenrhein Airport,CH
LSZV,47.5089,9.26278,Sitterdorf Airfield,CH
LSZX,47.1717,9.03944,Schänis Airfield,CH
LTAI,36.898701,30.800501,Antalya International Airport,TR
LTBW,41.1036,28.547701,İstanbul Hezarfen Airfield,TR
LTCG,40.995098,39.7897,Trabzon International Airport,TR
LTFE,37.249314,27.66401,Milas Bodrum International Airport,TR
LTFJ,40.898602,29.3092,Istanbul Sabiha Gökçen International Airport,TR
LTFM,41.274874,28.732136,İstanbul Airport,TR
OMDB,25.24979,55.370992,Dubai International Airport,AE
SKBO,4.70159,-74.1469,El Dorado International Airport,CO
UG11,40.8876,45.957001,Dollyar Air Base,AZ
WSSS,1.35019,103.994003,Singapore Changi Airport,SG
