callsign,route
ZXP25   ,EHAM_EHAM
DAL1    ,KJFK_EGLL
AAL104  ,KJFK_EGLL
EZY86NZ ,LEBL_EGKK
VLG34RD ,LEBL_EGKK
HBKMV   ,LSZL_LSZL
BAW947L ,EDDM_EGLL
AAL106  ,KJFK_EGLL
EJU94RQ ,LEBL_EGKK
OEXNC   ,LOWS_LOWS
EIN158  ,EIDW_EGLL
VIR48J  ,KJFK_EGLL
SHT9B   ,EGPH_EGLL
FHROZ   ,LFRE_LFRE
ETH712  ,LIRF_LEMD
OYFFT   ,EKRK_EKRK
SHT9U   ,EGPH_EGLL
IDADG   ,LIRU_LIRU
DLH5PL  ,EDDM_EGLL
SWR49M  ,LSGG_EGLL
DLH3NH  ,EDDM_EGLL
DKRHT   ,EHTL_EHTL
DMNOH   ,EDWN_EDWN
BAW813C ,EKCH_EGLL
BPO160  ,EDKB_EDKB
AEA056  ,LEMD_LEMD
BAW176A ,KJFK_EGLL
BAW51P  ,LPPT_EGLL
KLM35B  ,EHAM_EGLL
AAL136  ,KLAX_EGLL
JBU1107 ,KJFK_EGLL
BAW42DB ,EIDW_EGLL
PHHLF   ,EHMZ_EHMZ
KLM758  ,EHAM_EHAM
DEXBS   ,EDDV_EDDV
OYFFH   ,EKRK_EKRK
DMTLD   ,EDKB_EDKB
TAP52LH ,LPPT_EGLL
BAW172  ,KJFK_EGLL
VIR8Y   ,KLAX_EGLL
SI347   ,LGTT_LGTT
PH1443  ,EHWO_EHWO
GRVRY   ,EGGP_EGGP
EAX3F   ,LELL_LELL
AFR28EN ,LFPG_EGLL
DLH3PM  ,EDDF_EGLL
SWR8KG  ,LSZH_EGLL
FHOKE   ,LFQO_LFQO
SAS84F  ,EKCH_EGLL
EIN16Y  ,EIDW_EGLL
BAW11J  ,KJFK_EGLL
UAL938  ,KORD_EGLL
BAW835W ,EIDW_EGLL
BAW43XP ,EHAM_EGLL
EMU12   ,EGYD_EGYD
FHPDS   ,LEMS_LEMS
LAN711  ,LEMD_SKBO
P538    ,LSZC_LSZC
SYS86   ,EGOS_EGOS
DEDNZ   ,EDPM_EDPM
DLH7VV  ,EDDM_EGLL
SWR188L ,LSZH_EGLL
BAW949L ,EDDM_EGLL
HBKGZ   ,LSZX_LSZX
BAW727G ,LSGG_EGLL
BAW903U ,EDDF_EGLL
SHT9Z   ,EGPH_EGLL
BAW41R  ,EHAM_EGLL
SWR7EA  ,LSZH_EGLL
DEIFP   ,EDFE_EDFE
SYS89   ,EGOS_EGOS
VLG3ZZ  ,LEMG_EGKK
VIR10H  ,KJFK_EGLL
SYS21   ,EGOS_EGOS
BAW815C ,EKCH_EGLL
HBKGF   ,LSZL_LSZL
OKFAK   ,LKLT_LKLT
BAW30N  ,LFPG_EGLL
DEAWU   ,EDFE_EDFE
AAL134  ,KLAX_EGLL
SPKMC   ,EPKR_EPKR
SYS24   ,EGOS_EGOS
BAW709  ,LSZH_EGLL
EIN168E ,EIDW_EGLL
VLG86EJ ,LEBL_EGKK
SI345   ,LGTT_LGTT
GBOWY   ,EGLK_EGLK
SPSPB   ,EPGL_EPGL
DMFGD   ,EDPM_EDPM
BAW116  ,KJFK_EGLL
VLG34LB ,LEBL_EGKK
OECCB   ,LIRU_LIRU
EJU36DW ,LPFR_EGKK
WUK5461 ,LEMG_EGKK
SYS66   ,EGOS_EGOS
EJU43PE ,LPFR_EGKK
EIN182  ,EIDW_EGLL
PH1364  ,EHTL_EHTL
JBU1908 ,LFPG_KJFK
UKP154  ,EGNX_EGNX
BAW38DB ,EIDW_EGLL
SPTUN   ,EPRJ_EPRJ
WUK3W   ,LPFR_EGKK
BAW429B ,EHAM_EGLL
EIN1HW  ,EIDW_EGLL
EFW75H  ,LPFR_EGKK
BAW305  ,LFPG_EGLL
AFR22CN ,LFPG_EGLL
SHT9V   ,EGPH_EGLL
DLH5TP  ,EDDM_EGLL
PHKFO   ,EHGG_EHGG
GCMNG   ,EGWN_EGWN
DLH3VC  ,EDDF_EGLL
EIN1CM  ,EIDW_EGLL
OORNY   ,EBZH_EBZH
BAW3ZL  ,LSZH_EGLL
EAX2G   ,LELL_LELL
DEUFC   ,LOLF_LOLF
GCMAI   ,EGCL_EGCL
BAW71FJ ,LSZH_EGLL
CWL51   ,EGYD_EGYD
SYS69   ,EGOS_EGOS
EIN164  ,EIDW_EGLL
BAW811  ,EKCH_EGLL
SYS326  ,EGOS_EGOS
OEAAE   ,LOWG_LOWG
DLH3WJ  ,EDDM_EGLL
BAW6AC  ,KORD_EGLL
DLH2KA  ,EDDF_EGLL
DAL264  ,KJFK_LFPG
EFW64C  ,LEMG_EGKK
GCDOA   ,EGCB_EGCB
DMXTD   ,EDLM_EDLM
HBKGU   ,LSZX_LSZX
TAP675  ,EHAM_LPPT
EAX2F   ,LELL_LELL
BAW725  ,LSGG_EGLL
EZY34QR ,LPFR_EGKK
SYS23   ,EGOS_EGOS
GBYHJ   ,EGLM_EGLM
JBU20   ,EGLL_KJFK
OEFDV   ,EDWU_EDWU
OYBNH   ,EKRK_EKRK
DHAIT   ,EDCM_EDCM
BAW7WN  ,LSGG_EGLL
BAW51L  ,LPPT_EGLL
GBMJD   ,EGNX_EGNX
DKAGB   ,EDWJ_EDWJ
SYS11   ,EGOS_EGOS
SWR4EC  ,LSGG_EGLL
AAL142  ,KJFK_EGLL
SPAWA   ,EPBC_EPBC
SWR9YP  ,LSZH_EGLL
BAW315  ,LFPG_EGLL
BAW4Q   ,KLAX_EGLL
VLG72UL ,LEMG_EGKK
NCKL16  ,EGUB_EGUB
GRVRM   ,EGGP_EGGP
SAS505  ,EKCH_EGLL
AAL138  ,KLAX_EGLL
AFR1680 ,LFPG_EGLL
BAW20R  ,KORD_EGLL
BAW323V ,LFPG_EGLL
VLG6650 ,LEBL_EGLL
PHWVO   ,EHLE_EHLE
ETD5SJ  ,KJFK_EGLL
DLH914  ,EDDF_EGLL
DMXPD   ,EDLM_EDLM
AEA034  ,LEMD_LEMD
BASIC11 ,LKPD_LKPD
PCH50C  ,LSZC_LSZC
GOKED   ,EGCB_EGCB
EJU56EQ ,LEMG_EGKK
EZY59UC ,LPFR_EGKK
JBU1408 ,LFPG_KJFK
UAU42   ,EGDM_EGDM
SWR2BP  ,LSGG_EGLL
DLH4LW  ,EDDM_EGLL
GCIRZ   ,EGCB_EGCB
BASIC31 ,LKPD_LKPD
HB1766  ,LSZB_LSZB
TAP67M  ,EGLL_LPPT
VLG98RR ,EHAM_LPPT
FHARM   ,LFPN_LFPN
BAW953L ,EDDM_EGLL
AEA055  ,LEMD_LEMD
SWR1KL  ,LSZH_EGLL
SXASV   ,LGTT_LGTT
LIFELN1 ,EHAM_EHAM
AVA047  ,LEMD_SKBO
AFR76EL ,LFPG_EGLL
VLG1ZP  ,LEBL_EHAM
OEAHK   ,LOGW_LOGW
TAP67U  ,EHAM_LPPT
DECJH   ,LKHK_LKHK
JBU1407 ,KJFK_LFPG
EZY34PL ,LPFR_EGKK
KLM27M  ,EHAM_EGLL
GENTW   ,EGTR_EGTR
DMIPO   ,EDKB_EDKB
EFW1FG  ,LPFR_EGKK
EAX3G   ,LELL_LELL
ZODIAC51,EGNV_EGNV
BAW901U ,EDDF_EGLL
NCKL06  ,EGUB_EGUB
BASIC23 ,LKPD_LKPD
EZY72AP ,LEBL_EGKK
AVA011  ,LEMD_SKBO
JBU1907 ,KJFK_LFPG
SYS50   ,EGOS_EGOS
BAW731W ,LSGG_EGLL
JBU2220 ,EGLL_KJFK
GCLAP   ,EGTR_EGTR
OYFFF   ,EKRK_EKRK
ZSGCI   ,EHDS_EHDS
BAW483B ,LEBL_EGLL
BAW2AM  ,EHAM_EGLL
UAW23   ,EGDX_EGDX
ITY325  ,LFPG_LIRF
EAX4G   ,LELL_LELL
BAW47C  ,LEBL_EGLL
AEA088  ,LEMD_LEMD
EIN17J  ,EIDW_EGLL
OKHKI   ,LKHK_LKHK
KLM31A  ,EHAM_EGLL
SFY2JM  ,EGBJ_EGBJ
EMU5    ,EGYD_EGYD
BAW33K  ,EGLL_KJFK
GCEGU   ,EGLM_EGLM
GBNOJ   ,EGNH_EGNH
GSUEG   ,EGBJ_EGBJ
SXACW   ,LGTT_LGTT
GBRDF   ,EGLM_EGLM
UAL920  ,KORD_EGLL
KLM63T  ,EHAM_EGLL
BAW951L ,EDDM_EGLL
BAW733C ,LSGG_EGLL
LAN710  ,SKBO_LEMD
SHT9J   ,EGPH_EGLL
BASIC33 ,LKPD_LKPD
TAP58Y  ,LPPT_EGLL
AOS56   ,EGBJ_EGBJ
EIN1WM  ,EIDW_EGLL
BAW59Z  ,LPPT_EGLL
TAP669  ,EHAM_LPPT
342     ,LGTT_LGTT
VLG6020 ,LEBL_EGKK
SEJXP   ,ESSB_ESSB
SHT9X   ,EGPH_EGLL
VLG83EM ,EHAM_LEBL
TAP63V  ,EGLL_LPPT
WAGON1  ,EGYD_EGYD
LFA201  ,EGTC_EGTC
VLG6JZ  ,LEBL_EHAM
PHKBA   ,EHLE_EHLE
HBLWW   ,LSZB_LSZB
DERSI   ,EDFM_EDFM
OEXCU   ,LOWS_LOWS
SPSMB   ,EPPO_EPPO
BAW309  ,LFPG_EGLL
AVA026  ,SKBO_LEMD
GAVMD   ,EGCB_EGCB
OEDCC   ,LOWG_LOWG
GFLOH   ,EG32_EG32
DLH3VE  ,EDDF_EGLL
GBHFI   ,EGNH_EGNH
IRNMN1  ,EGOS_EGOS
HB1690  ,LSPA_LSPA
TAP51PM ,EGLL_LPPT
FHUPR   ,EPPO_EPPO
VLG66WR ,EHAM_LEBL
DEGCG   ,EDKN_EDKN
AVA183  ,LEMD_SKBO
SHT9Y   ,EGPH_EGLL
SYS41   ,EGOS_EGOS
EZY65LG ,LEMG_EGKK
BAW178  ,KJFK_EGLL
VLG60CD ,LEBL_EHAM
ECMZV   ,LELL_LELL
BAW473D ,LEBL_EGLL
DLH7FY  ,EDDM_EGLL
SFY3DB  ,EGBJ_EGBJ
EWG6SF  ,EDDL_LEPA
DLH5JF  ,EDDF_EGLL
EAX2H   ,LELL_LELL
FJGTX   ,LFMA_LFMA
TAP1359 ,EGLL_LPPT
TAP443  ,LFPO_LPPT
DEGGL   ,EDVM_EDVM
ZEROG   ,LFBD_LFBD
SPRTFM  ,EPGL_EPGL
EZY79TK ,LEMG_EGKK
TAP1364 ,LPPT_EGLL
SWR36A  ,LSZH_EGLL
AVA046  ,SKBO_LEMD
AFR31TL ,LFPG_EGLL
SWR24C  ,LSZH_EGLL
SYS42   ,EGOS_EGOS
VLG6PN  ,LEBL_EHAM
SAS1507 ,EKCH_EGLL
AVA010  ,SKBO_LEMD
EJU8078 ,LEMG_EGKK
OEVTW   ,LOAN_LOAN
OKBUD52 ,LKLT_LKLT
SAS72G  ,EKCH_EGLL
BASIC21 ,LKPD_LKPD
OYEVA   ,EKRK_EKRK
HBKGE   ,LSZL_LSZL
DENIF   ,LOWG_LOWG
SMGLR31 ,LKPD_LKPD
DAL262  ,KJFK_LFPG
DEQFE   ,EDFE_EDFE
VLG722T ,EHAM_LEBL
BASIC13 ,LKPD_LKPD
TAP1369 ,EGLL_LPPT
SPSMP   ,EPPO_EPPO
FHAPD   ,LFPN_LFPN
SWR5AP  ,EGLL_LSZH
SPTPF   ,EPBC_EPBC
FGIEQ   ,LFPL_LFPL
HBRTT   ,LSZB_LSZB
GICET   ,EGTR_EGTR
OEVDP   ,LOAN_LOAN
AEA7706 ,LEBL_LEMD
GLDGF   ,EGTK_EGTK
SYS88   ,EGOS_EGOS
AEA198  ,LEMD_LEMD
VLG84KA ,EHAM_LEBL
GFICH   ,EGBG_EGBG
DLH6RJ  ,EDDF_EHAM
FGBFP   ,LFPL_LFPL
KLM61T  ,EHAM_EGLL
DEKSD   ,EDMA_EDMA
GTCHI   ,EGHR_EGHR
SYS70   ,EGOS_EGOS
TAP6AM  ,EHAM_LPPT
TAP57W  ,EGLL_LPPT
BAW58TL ,EGLL_LPPT
HBZWE   ,LSZB_LSZB
VLG4GQ  ,EGKK_LEBL
WMT676  ,LIRF_LEMD
DLH2EY  ,EGLL_EDDM
EJU8127 ,LEPA_EGKK
GBEZO   ,EGBJ_EGBJ
VLG75QP ,LEBL_EHAM
TAP66JC ,LPPT_EGLL
BAW17R  ,EGLL_KJFK
BAW719  ,LSZH_EGLL
VLG2HE  ,EGKK_LEBL
WMT829  ,LIRF_LEMD
GECRM   ,EGLM_EGLM
TAP1350 ,LPPT_EGLL
UAD980  ,EGDM_EGDM
OXF26   ,EGTK_EGTK
ITY061  ,LEMD_LIRF
PHVTB   ,EHTE_EHTE
DMTLA   ,EDKB_EDKB
TAP433  ,LFPO_LPPT
TVF13NB ,LPPR_LFPO
GBSYY   ,EGLM_EGLM
ECIDM   ,LELL_LELL
CWL30   ,EGYD_EGYD
EIN1EH  ,EIDW_EGLL
AEA1094 ,EHAM_LEMD
VLG1983 ,LFPO_LPPT
DLH2VR  ,EGLL_EDDM
ITY058  ,LIRF_LEMD
BAW7J   ,EGLL_KLAX
GCHYY   ,EGNU_EGNU
KLM81E  ,EHAM_EGLL
TAP431  ,LFPO_LPPT
GBLZP   ,EGNX_EGNX
EWG2LM  ,LEPA_EDDL
GCMAK   ,EGTR_EGTR
AFR23EE ,LEBL_LFPG
VIR26Q  ,KJFK_EGLL
EWG37KE ,EDDL_LEPA
AEA194  ,SKBO_LEMD
ECNJO   ,LELL_LELL
EZY34VA ,EGKK_LEBL
AVA027  ,LEMD_SKBO
BAW717T ,LSZH_EGLL
NCKL23  ,EGUB_EGUB
VLG714Z ,LEBL_EHAM
GCCZV   ,EGTR_EGTR
TAP74NA ,LPPT_EHAM
BAW823D ,EIDW_EGLL
SPMMB   ,EPBC_EPBC
SWR28L  ,LSGG_EGLL
ITY063  ,LEMD_LIRF
TAP429  ,LFPO_LPPT
TRA8H   ,LEBL_EHAM
OHDTF   ,EFTP_EFTP
UAU886  ,EGDM_EGDM
HB3411  ,LSZB_LSZB
TAP435  ,LFPO_LPPT
VLG1BZ  ,LFPO_LPPT
FHLEP   ,LFMA_LFMA
SWR8GF  ,LSGG_EGLL
TAP441  ,LFPO_LPPT
TAP439X ,LFPO_LPPT
GTWOO   ,EGCB_EGCB
OOKOK   ,EBFN_EBFN
EFW93J  ,LEMG_EGKK
ITY059  ,LEMD_LIRF
GAVER   ,EGCB_EGCB
FHGTE   ,LELL_LELL
BAW5LI  ,EGLL_LPPT
BAW319A ,LFPG_EGLL
KLM82D  ,LEBL_EHAM
SPTUA   ,EPRJ_EPRJ
KLM757  ,EHAM_EHAM
RBA97   ,OMDB_EGLL
VIR354  ,EGLL_EGLL
TOM458  ,EGKK_LTAI
TFL397  ,EHAM_EHAM
TOM459  ,LTAI_EGKK
PH1493  ,EHDB_EHDB
PH1475  ,EHMZ_EHMZ
PH1598  ,EHDB_EHDB
BAW168  ,EGLL_EGLL
DKFPA   ,EHTL_EHTL
PH1399  ,EHDB_EHDB
PH1542  ,EHDB_EHDB
AHY008  ,EGLL_OMDB
PH1259  ,EHDP_EHDP
BAW106  ,OMDB_EGLL
PH1287  ,EHMZ_EHMZ
PH1690  ,EHWO_EHWO
RLET43  ,EGVN_EGVN
TFL375  ,EHAM_EHAM
GFA007  ,OMDB_EGLL
PH1612  ,EHMZ_EHMZ
PH1650  ,EHTL_EHTL
TOM7BG  ,EGCC_LTAI
ZSGDS   ,EHDB_EHDB
BAW16   ,WSSS_EGLL
ETD69W  ,EGLL_EGLL
QFA209  ,WSSS_EGLL
BAW135  ,EGLL_EGLL
BAW72   ,EGLL_EGLL
HB2420  ,LSZB_LSZB
TFL395  ,EHAM_EHAM
TFL355  ,EHAM_EHAM
AVA182  ,SKBO_LEMD
ZODIAC73,EGNV_EGNV
FBY32D  ,LEBG_LEBG
PH1595  ,EHWO_EHWO
D6524   ,EHDP_EHDP
AFR16CG ,LFPG_EGLL
TAP438T ,LPPT_LFPO
PH1619  ,EHTL_EHTL
DKARC   ,EHWO_EHWO
FHEEL   ,LFPN_LFPN
PH1365  ,EHTE_EHTE
VLG9WK  ,EGKK_LEBL
WMT7870 ,LEMD_LIRF
DAL4    ,EGLL_KJFK
HB3131  ,LSZB_LSZB
TAP440  ,LPPT_LFPO
VLG43SN ,EHAM_LEBL
TAP670  ,LPPT_EHAM
EWG1HR  ,EDDL_LEPA
FBY32A  ,LEBG_LEBG
AAL139  ,EGLL_KLAX
FBY18T  ,LEBG_LEBG
GBCRL   ,EGNV_EGNV
LYLLB   ,EYVP_EYVP
HB2450  ,LSZX_LSZX
HB3362  ,LSZB_LSZB
SYS52   ,EGOS_EGOS
DAL263  ,LFPG_KJFK
CSHIX   ,LPBJ_LPBJ
GCEEU   ,EGLM_EGLM
EZY54YB ,LPFR_EGKK
SWR4SY  ,EGLL_LSGG
PHSVD   ,EHTE_EHTE
AAL45   ,LFPG_KJFK
FGABE   ,LFLU_LFLU
BAW958M ,EGLL_EDDM
ECNJG   ,LECU_LECU
AAL46P  ,KORD_EGLL
NCKL07  ,EGUB_EGUB
HBPHG   ,LSMA_LSMA
DLH3ET  ,EDDF_EGLL
GDDAD   ,EGTR_EGTR
VLG509M ,LEBL_EGLL
VLG64PW ,LPPT_LFPO
SWR736  ,LSZH_EHAM
OEDDD   ,LOWG_LOWG
ITY060  ,LIRF_LEMD
TAP428  ,LPPT_LFPO
GBBRC   ,EGLK_EGLK
AFR010  ,LFPG_KJFK
BAW5DW  ,EGLL_LPPT
DETLK   ,EDFE_EDFE
ETP75   ,EGDM_EGDM
DLH4TR  ,EGLL_EDDM
ITY319  ,LFPG_LIRF
AAL105  ,EGLL_KJFK
BAW485G ,LEBL_EGLL
TAP72PA ,LPPT_EHAM
WMT887  ,LEMD_LIRF
HBLZL   ,LSZL_LSZL
WUK13YS ,EGKK_LPFR
KLM73T  ,LEBL_EHAM
DLH4LL  ,EGLL_EDDM
DAL2    ,EGLL_KJFK
BAW817  ,EKCH_EGLL
SFS71   ,EDMA_EDMA
BAW911U ,EDDF_EGLL
TAP56UG ,LPPR_LFPO
BAW8ER  ,EIDW_EGLL
UAJ38   ,EGQL_EGQL
VIR47M  ,EGLL_KJFK
OKBIT   ,LKLT_LKLT
AAL135  ,EGLL_KLAX
EWG1UV  ,LEPA_EDDL
IBE34FC ,LEMD_LFPO
IBE34EL ,LEMD_LFPO
KLM16K  ,LEBL_EHAM
VLG7BN  ,EGKK_LEBL
AFR42KM ,LEBL_LFPG
DKAGX   ,EDWJ_EDWJ
TVF95VX ,LFPO_LPPR
DLH7TP  ,EGLL_EDDM
EAX3H   ,LELL_LELL
SHT7T   ,EGPF_EGLL
TUI79K  ,EDDL_LEPA
IBE32SD ,LEMD_LIRF
HBSHC   ,LSZR_LSZR
SAS1501 ,EKCH_EGLL
AFR009  ,KJFK_LFPG
AFR55QP ,LEBL_LFPG
TCUUN   ,LTBW_LTBW
VLG9JG  ,LPPR_LFPO
TVF91SF ,LFPO_LPPT
VLG57HQ ,EGKK_LEMG
VLG17XY ,LEBL_LFPO
ITY317  ,LFPG_LIRF
ITY2045 ,LIML_LIRF
VLG2FB  ,LPPT_EHAM
PHMLW   ,EHGG_EHGG
AFR24LJ ,LEBL_LFPG
HB1630  ,LSPA_LSPA
AFR2X   ,LFPG_KJFK
EIN60R  ,EHAM_EIDW
KLM43Q  ,EHAM_LEBL
PHKFX   ,EHGG_EHGG
HBZWG   ,LSZV_LSZV
AFR7P   ,KJFK_LFPG
ADM493  ,LPEV_LPEV
BAW720T ,EGLL_LSZH
BAW732  ,EGLL_LSGG
IBE34GV ,LFPO_LEMD
VIR153  ,EGLL_KJFK
SEH9DG  ,LGAV_LFPG
VLG1982 ,LPPT_LFPO
AEA7708 ,LEBL_LEMD
EIN17R  ,EGLL_EIDW
ITY333  ,LFPG_LIRF
VIR9J   ,EGLL_KJFK
SWR13Y  ,EGLL_LSGG
EIN611  ,EHAM_EIDW
AFR006  ,LFPG_KJFK
AFR004  ,LFPG_KJFK
VLG5TA  ,LFPO_LPPR
BAW41HA ,EHAM_EGLL
DLH9U   ,EGLL_EDDF
VLG6337 ,LIMC_LEBL
DAL265  ,LFPG_KJFK
EZY23ME ,EGKK_LEBL
AFR5T   ,KJFK_LFPG
TAP434T ,LPPT_LFPO
EZY81ZT ,EGKK_LPFR
HBWAK   ,LSZL_LSZL
EWG3UY  ,LEPA_EDDL
BAW283  ,EGLL_KLAX
BAW729  ,LSGG_EGLL
SEMLR   ,ESSB_ESSB
SWR12K  ,EGLL_LSGG
IBE32DV ,LEMD_LIRF
AFR3G   ,KJFK_LFPG
IBE32MT ,LEMD_LIRF
VLG31SP ,LEBL_LFPO
ITY2061 ,LIML_LIRF
AFR92BL ,LFPG_LIRF
OECMP   ,LOWG_LOWG
BAW5PT  ,EGLL_LPPT
AFR37QG ,LFPG_LIRF
GFLOE   ,EGTB_EGTB
EJU89HY ,EGKK_LEBL
