route,samples
EIDW_EHAM,24915
LEPA_LEBL,24710
ENBR_ENGM,24679
LEBL_EGLL,24561
UG11_UG11,24530
EDDH_EDDM,24521
EPGL_EPGL,24513
ENGM_ENBR,24216
LIRF_LEBL,24201
LPPR_LFPO,24145
LPPT_LEMD,23889
EGLL_LSGG,23858
LEMD_LFPO,23767
LEIB_LEBL,23501
EGKK_LEMG,23471
EDDM_EDDH,23444
LEBL_LPPT,23318
LEMD_LEPA,22889
EGLL_LSZH,22886
LFPO_LPPR,22630
LFPG_LIRF,22409
EDWN_EDWN,22173
LEMD_LEBL,22056
EFHK_ESSA,21931
LIMC_LEBL,21922
LSZH_EHAM,21858
EGLL_LFPG,21811
LEPA_EGKK,21790
LEBL_LFPO,21661
EGLL_EGPH,21425
LEMD_SKBO,21315
ENGM_ESSA,21281
LEBL_LEMD,21192
EHWO_EHWO,21057
ESSA_EFHK,21029
LEPA_LEMD,20781
EHAM_LEMD,20752
EDDF_EDDH,20748
EGKK_LPFR,20684
LEPA_EDDK,20672
LFPG_EDDF,20573
LFPG_LFMN,20302
EHSE_EHSE,20296
LFPO_LEMD,20290
LPPT_EHAM,20112
EGLK_EGLK,20018
LTFM_LTFM,19889
LIML_LIRF,19859
LEMD_EHAM,19823
LEPA_EDDM,19681
ESSA_ENGM,19645
EHAM_EDDF,19539
EDDF_EHAM,19494
EIDW_EGCC,19279
LPPT_LEBL,19094
LOWW_EDDF,19079
ENZV_ENGM,19052
LEBL_LIMC,18829
LEMD_LPPR,18681
LFRV_LFRV,18549
LTFM_LTFE,18525
EDDF_LOWW,18431
LFMN_LFPG,18335
SKBO_LEMD,18330
EGCC_EHAM,18249
LIRU_LIRU,18218
ESSA_EKCH,18197
EGXT_EGXT,18128
LGAV_LFPG,18073
LIRF_LFPG,17836
LEBL_LEPA,17825
LFMN_LFPO,17780
EKCH_EHAM,17644
EHAM_EDDM,17337
LEBL_LEIB,17136
EDDL_EDDM,17085
EHAM_LSZH,16827
LFPO_LEBL,16750
EGLL_EKCH,16649
EKYT_EKCH,16648
EHAM_EGCC,16591
LFPG_EHAM,16518
LPPR_LEMD,16440
EDDH_EDDF,16380
LSZI_LSZI,16363
LEIB_LEMD,16344
EDDF_EDDB,16315
EDDH_LEPA,16281
EDVM_EDVM,16279
EGKK_LEPA,16167
EGPF_EGLL,16065
EGLC_EHAM,15962
EGLL_EGLL,15926
LFPO_LFMN,15663
LKHK_LKHK,15633
EGGP_EGGP,15416
LOGG_LOGG,15215
EDDM_EHAM,15206
EDDL_LTAI,15053
LTAI_EDDL,15003
EGCC_EIDW,14814
EGLL_LTFM,14746
EIDW_EGPH,14565
LEMD_LEIB,14508
LPPR_LPPT,14396
LICJ_LIRF,14384
EDDK_LEPA,14382
LTFJ_LTFE,14266
LEPA_EDDH,14150
EGCC_LEPA,14137
LECU_LECU,14047
LSPA_LSPA,14017
LTAI_EDDK,13785
EGWN_EGWN,13715
EGLL_LEBL,13500
EDDM_EDDF,13497
LEMG_EHAM,13343
EHMZ_EHMZ,13297
LEMD_EDDF,13294
EDMA_EDMA,13231
LEPA_EDDF,13034
ENGM_ENZV,12918
EDLM_EDLM,12912
ENZV_ENBR,12859
EDQX_EDQX,12814
ENBO_ENGM,12737
EG32_EG32,12616
EGVN_EGVN,12404
EDDM_EDDL,12368
LFPG_EDDM,12334
LTAI_LTFM,12261
EGPH_EIDW,12181
ENBO_ENVA,12178
LEAL_EGKK,12156
LGAV_LIRF,12007
LIML_LICZ,11903
LPEV_LPEV,11891
EDDF_EDDM,11889
LTFM_OMDB,11766
EGNU_EGNU,11748
ENGM_ENBO,11631
WSSS_EGLL,11559
EGCJ_EGCJ,11421
LEPA_LSZH,11284
EKCH_EKYT,11273
LEPA_EGCC,11262
LSZH_EDDB,11151
LOAN_LOAN,11126
LKLT_LKLT,11000
EIDW_EGSS,10886
EDDK_LTAI,10884
LTFJ_LTAI,10647
EHAM_LFPG,10445
EDDB_EDDF,10348
EHDP_EHDP,10212
EGOV_EGOV,10142
LIRF_LIML,10063
EDDB_EDDM,10000
EDLT_EDLT,9975
LFML_LFPG,9882
EDDF_LEMD,9869
EDDF_LFPG,9790
LEBL_LEMH,9757
EDDM_LEPA,9726
EBMB_LEMD,9705
ENVA_ENBO,9639
EDPM_EDPM,9638
LOXN_LOXN,9552
LEMD_LIMC,9543
EGDX_EGDX,9538
LPBJ_LPBJ,9462
ENGK_ENGK,9459
LTFM_LTAI,9431
EDDV_EDDV,9349
EDDM_LFPG,9314
LFPG_DAAG,9247
EGLL_KORD,9177
LSZV_LSZV,9177
EDFM_EDFM,9062
LFPG_LEMD,9034
ENBR_ENVA,9019
LSZH_LSZH,9010
LFPL_LFPL,8962
EDDM_EDDB,8867
LPSO_LPSO,8841
LFPG_EKCH,8837
EGBB_EIDW,8834
LJPZ_LJPZ,8774
EGBG_EGBG,8732
EGSS_EIDW,8715
EGCL_EGCL,8685
EHAM_ENGM,8676
EBZH_EBZH,8519
EDDF_LEPA,8481
EGKK_LIRF,8458
EFTP_EFTP,8432
LFBD_LFBD,8385
EIDW_EGKK,8339
EGTC_EGTC,8321
LTAI_LTFJ,8289
OMDB_LTFM,8237
LPFR_EIDW,8184
LSZO_LSZO,8133
EETN_EFHK,8113
LEBL_LEMG,8059
LEPA_EDDB,7982
EDNA_EDNA,7928
LFPG_LFML,7846
LFBO_LFPG,7715
EDCM_EDCM,7491
EGKK_LTAI,7376
LGAV_LGTS,7258
LEMG_LEBL,7179
LTAI_EGKK,7176
LSGG_LSZH,7171
EKCH_LFPG,7127
LPPT_LPPR,7120
LEIB_LEPA,7090
ETHN_ETHN,7088
LOWW_EDDB,7065
EGLL_EGPF,7021
LEPA_EDDS,7015
LFRE_LFRE,6916
EGXY_EGXY,6823
EYVP_EYVP,6801
EBSP_EBSP,6705
LEAL_EGCC,6694
LSGG_EHAM,6613
EPRJ_EPRJ,6585
LIRF_LICJ,6547
LTFJ_LTCG,6535
LFPG_LFBO,6477
EGPD_EGPD,6438
EPWS_EPWS,6399
LIMC_LICZ,6293
EDDF_LTFM,6292
EGLD_EGLD,6247
LIRF_EGKK,6207
ESSA_EGLL,6121
EDWJ_EDWJ,6048
EFHK_EETN,5950
LGAV_LCLK,5924
EGTB_EGTB,5900
LEPA_LEIB,5882
LEMD_EGLL,5874
EDDM_LTAI,5769
LSZR_LSZR,5742
LSZH_LEPA,5737
LPPT_LPMA,5732
LFLU_LFLU,5673
LEMH_LEBL,5625
EHAM_ESSA,5617
LSMA_LSMA,5601
EHAM_EGLC,5547
EGQL_EGQL,5484
ENVA_ENBR,5437
ESSB_ESSB,5378
DAAG_LFPG,5350
LICZ_LIRF,5324
LCEN_LTFJ,5263
LFCL_LFCL,5182
EGKR_EGKR,5179
LSGG_LFMN,5168
EDTG_EDTG,5093
EPML_EPML,5091
EGCC_LTAI,5087
EHAM_LFMN,5048
EDRB_EDRB,5044
LFQO_LFQO,5032
EHRD_EHRD,4986
EDDB_LSZH,4933
EGHR_EGHR,4868
LIPN_LIPN,4796
EGHH_EGHH,4774
LSGL_LSGL,4644
EGKK_LEAL,4600
EDDS_LEPA,4519
EBFN_EBFN,4495
LTBW_LTBW,4488
EDDB_LOWW,4401
LFMN_EHAM,4391
EDML_EDML,4386
EGWC_EGWC,4358
EGSH_EGSH,4317
LTCG_LTFJ,4186
EGKK_EIDW,4121
LEMS_LEMS,4088
EGLL_ESSA,4031
ENBR_ENZV,4014
LSZH_LSGG,4006
EPKR_EPKR,3878
LEMG_EIDW,3816
EGLL_LEMD,3754
EDKN_EDKN,3746
EDDB_LEPA,3725
EDWU_EDWU,3722
ENGM_EHAM,3680
LOGW_LOGW,3679
LOLF_LOLF,3642
LFPO_DAAG,3325
LFPO_LIRF,3294
LEMD_LFPG,3283
EHAM_LEMG,3139
EPWA_LTAI,3122
LFPZ_LFPZ,3079
EHDS_EHDS,3067
EHAM_LOWW,3041
EGCC_LEMG,3021
LIMC_LEMD,2955
LPPR_LSGG,2944
LFMN_LSGG,2940
LTFJ_LTFJ,2935
LIRF_LFPO,2901
EGCC_LFPG,2758
EPKT_LTAI,2757
LTAI_EDDM,2705
EIDW_LPFR,2689
EDLF_EDLF,2689
EDDF_LTAI,2619
EHAM_LSGG,2604
EPPR_EPPR,2573
LOWW_LSZH,2484
LFPG_LFMD,2374
LFPO_LFMD,2339
LTAI_EDDN,2288
LIMC_LFPG,2206
LEMG_LEMD,2202
EDDK_EDDM,2093
LGAV_LGMK,2088
ESSA_EHAM,2062
LECO_LEMD,2010
LROP_LTAI,1972
LTAI_EPWA,1946
LEBL_LEZL,1928
LTAI_LKPR,1914
EDDM_EDDK,1853
EDDB_EDDK,1816
LGAV_LTFM,1702
EGPF_EIDW,1653
LTFM_LTXE,1614
LFQT_LFQT,1359
LTFM_LTCG,1334
EBAM_EBAM,1315
LGKV_LGKM,1269
GEML_LEMG,1237
EGNX_EGAA,1153
LEPA_LEMH,1038
LGMK_LGAV,734
